システム監査を実施することになり監査チームを編成した。チームに参画する全ての監査人に対して、共通して求められる要件はどれか,監査対象からの独立性,艦さ対象システムの詳細な技術知識,監査対象となっている業務の実務経験,監査対象部署の問題点に対する改善能力,0,1
ITILでは、可用性管理における重要業績評価指標(KPI)の例として、保守性を表す指標値の短縮を挙げている。この指標に該当するものはどれか。,"データ項目""受信年月日""のデータ型として、日付型と文字列型が混在する。","データ項目""受注金額""の取り得る値の範囲がテーブルによって異なる。","データ項目""賞与金額""と同じ意味で""ボーナス金額""というデータ項目がある。","データ項目""取引先""が、""取引先コード""か""取引先名""か、判別できない。",1,2
関係XとYを自然結合した後、関係Zを得る関係代数演算はどれか。,射影と和,選択,選択と射影,選択と和,2,2
ロックの粒度に関する説明のうち、適切なものはどれか。,データを更新するときに、粒度を大きくすると、他のトランザクションの待ちが多くなり、全体のスループットが低下する。,同一のデータを更新するトランザクション数が多いときに、粒度を大きくすると、同時実行できるトランザクション数が増える。,表の全データを参照するときに、粒度を大きくすると、他のトランザクションのデータ参照を妨げないようにできる。,粒度を大きくすると、含まれるデータ数が多くなるので、一つのトランザクションでかけるロックの個数が多くなる。,0,2
データベースが格納されている記憶媒体に故障が発生した場合、バックアップファイルとログを用いてデータベースを回復する操作はどれか。,アーカイブ ,コミット,チェックポイントダンプ ,ロールフォワード,3,2
GUIの部品の一つであるラジオボタンの用途として、適切なものはどれか。,16,32,64,128,3,2
LAN間接続装置に関する記述のうち、適切なものはどれか。,ゲートウェイは、OSI基本参照モデルにおける第1～3層だけのプロトコルを変換する。,ブリッジは、IPアドレスを基にしてフレームを中継する。,リピータは、同種のセグメント間で信号を増幅することによって伝送距離を延長する。,ルータは、MACアドレスを基にしてフレームを中継する。,2,2
TCP/IPネットワークでDNSが果たす役割はどれか。,PCやプリンタなどからのIPアドレス付与の要求に対して、サーバに登録してあるIPアドレスの中から使用されていないIPアドレスを割り当てる。,サーバにあるプログラムを、サーバのIPアドレスを意識することなく、プログラム名の指定だけで呼び出すようにする。,社内のプライベートIPアドレスをグローバルIPアドレスに変換し、インターネットへのアクセスを可能にする。,ドメイン名やホスト名などとIPアドレスとを対応付ける。,3,2
インターネットにおける電子メールの規約で、ヘッダフィールドの拡張を行い、テキストだけでなく、音声、画像なども扱えるようにしたものはどれか。,HTML,MHS,MIME,SMTP,2,2
ＯＳＩ基本参照モデルのトランスポート層以上が異なるＬＡＮシステム相互間でプロトコル変換を行う機器はどれか,LTE(Long Term Evolution),MAC(Media Access Control),MDM(Mobile Device Management),VoIP(Voice over Internet Protocol),0,2
アプリケーションソフトウェアにディジタル署名を施す目的はどれか。,アプリケーションソフトウェアの改ざんを利用者が検知できるようにする。,アプリケーションソフトウェアの使用を特定の利用者に制限する。,アプリケーションソフトウェアの著作権が作成者にあることを証明する。,アプリケーションソフトウェアの利用者による修正や改変を不可能にする。,0,2
AES-256で暗号化されていることが分かっている暗号文が与えられているとき、ブルートフォース攻撃で鍵と解読した平文を得るまでに必要な試行回数の最大値はどれか。,256,2128,2255,2256,3,2
共通鍵暗号方式の特徴はどれか。,暗号化通信に使用する場合、鍵を相手と共有する必要があり、事前に平文で送付することが推奨されている。,暗号化通信をする相手が1人の場合、使用する鍵の個数は公開鍵暗号方式よりも多い。,同じ程度の暗号強度をもつ鍵長を選んだ場合、公開鍵暗号方式と比較して、暗号化や復号に必要な時間が短い。,鍵のペアを生成し、一方の鍵で文書を暗号化すると、他方の鍵でだけ復号することができる。,2,2
ＣＡＰＴＣＨＡの目的はどれか。,Ｗｅｂサイトなどにおいて、コンピュータではなく人間がアクセスしているとこを確認する,公開鍵暗号と共通鍵暗号を組み合わせて、メッセージを効率よく暗号化する,通信回線を流れるパケットをキャプチャして、パケットの内容の表示や解析、集計を行う,電子政府推奨暗号の安全性を評価し、安生技術の適切な実装法、運用法を調査、検討する。,0,2
組織的なインシデント対応体制の構築や運用を支援する目的でJPCERT/CCが作成したものはどれか。,CSIRTマテリアル,ISMSユーザーズガイド,証拠保全ガイドライン,組織における内部不正防止ガイドライン,0,2
ボットネットにおけるC&Cサーバの役割として、適切なものはどれか。,Webサイトのコンテンツをキャッシュし、本来のサーバに代わってコンテンツを利用者に配信することによって、ネットワークやサーバの負荷を軽減する。,外部からインターネットを経由して社内ネットワークにアクセスする際に、CHAPなどのプロトコルを用いることによって、利用者認証時のパスワードの盗聴を防止する。,外部からインターネットを経由して社内ネットワークにアクセスする際に、チャレンジレスポンス方式を採用したワンタイムパスワードを用いることによって、利用者認証時のパスワードの盗聴を防止する。,侵入して乗っ取ったコンピュータに対して、他のコンピュータへの攻撃などの不正な操作をするよう、外部から命令を出したり応答を受け取ったりする。,3,2
IDSの機能はどれか。,PCにインストールされているソフトウェア製品が最新のバージョンであるかどうかを確認する。,検査対象の製品にテストデータを送り、製品の応答や挙動から脆(ぜい)弱性を検出する。,サーバやネットワークを監視し、侵入や侵害を検知した場合に管理者へ通知する。,情報システムの運用管理状況などの情報セキュリティ対策状況と企業情報を入力し、組織の情報セキュリティへの取組み状況を自己診断する。,2,2
セキュアブートの説明はどれか。,BIOSにパスワードを設定し、PC起動時にBIOSのパスワード入力を要求することによって、OSの不正な起動を防ぐ技術,HDDにパスワードを設定し、PC起動時にHDDのパスワード入力を要求することによって、OSの不正な起動を防ぐ技術,PCの起動時にOSやドライバのディジタル署名を検証し、許可されていないものを実行しないようにすることによって、OS起動前のマルウェアの実行を防ぐ技術,マルウェア対策ソフトをスタートアッププログラムに登録し、OS起動時に自動的にマルウェアスキャンを行うことによって、マルウェアの被害を防ぐ技術,2,2
不正が発生する際には”不正のトライアングル”の3要素全てが存在すると考えられる。”不正のトライアングル”の構成要素の説明として、適切なものはどれか,”機会”とは、情報システムなどの技術や物理的な環境、組織のルールなど、内部者による不正行為の実行を可能又は容易にする環境の存在である,"""情報と伝達""とは、必要な情報が識別、把握及び処理され、組織内外及び関係者相互に正しく伝えられるようにすることである","""正当化""とは、ノルマによるプレッシャなどのことである",”動機”とは、良心のかしゃくを乗り越える都合の良い解釈や他人への責任転嫁など、内部者が不正行為を自ら納得させるための自分勝手な理由付けである,0,2
OSI基本モデルのネットワーク層で動作し、”認証ヘッダ（AH）”と”暗号ペイロード（ESP）”の二つのプロトコルを含むものどれか,IPsec,S/MINE,SSH,XML暗号,0,2
侵入者やマルウェアの挙動を調査するために、意図的に脆弱性をもたせたシステムまたはネットワークはどれか,DMZ,SIEM,ハニーポット,ボットネット,2,2
ファジングで得られるセキュリティ上の効果はどれか,ソフトウェアの脆弱性を自動的に修正できる,ソフトウェアの脆弱性を検出できる,複数のログデータを相関分析し、不正アクセスを検知できる,利用者IDを総合的に管理し、統一したパスワードポリシを適用できる,1,2
UMLにおける振る舞いの図の説明のうち、アクティビティ図のものはどれか,ある振る舞いから次の振る舞いへの制御の流れを表現する,オブジェクト間の相互作用を時系列で表現する,システムが外部に提供する機能と、それを利用する者や外部システムとの関係を表現する,一つのオブジェクトの状態がイベントの発生や時間の経過とともにどのように変化するかを表現する,0,2
ブラックボックステストに関する記述として、最も適切なものはどれか,テストデータの作成基準として、プログラムの命令や分岐に対する網羅率を使用する,被テストプログラムに冗長なコードがあっても検出できない,プログラムの内部構造に着目し、必要なデータが実行されたかどうかを検出する,分岐命令やモジュールの数が増えると、テストデータが急増する,1,2
ソフトウェアのテストツールの説明のうち、静的テストを支援する静的解析ツールのものはどれか,指定された条件のテストデータや、プログラムの入力ファイルを自動的に生成する,テストの実行結果を基に、命令の網羅率や分岐の網羅率を自動的に計測し、分析する,プログラム中に文法上の誤りや論理的な誤りがあるかどうかを、ソースコードを分析して調べる,モジュールの呼出し回数や実行時間、実行文実行回数などの、プログラム実行時の動作特性に関するデータを計測する,2,2
JavaScriptの非同期通信の機能を使うことによって、動的なユーザインターフェースを画面全体の遷移を伴わずに実現する技術はどれか,Ajax,CSS,RSS,SNS,0,2
ある会場で資格試験を実施する際のアクティビティである”受付”と”試験”の依存関係のうち、プレシデンスダイアグラム法（PDM）の開始-終了関係はどれか,受付の開始から30分経過したら、試験を開始する,受付の終了から10分経過したら、試験を開始する,受付の終了から45分経過したら、試験を終了する,試験の開始から20分経過したら、受付を終了する,3,2
サービスマネジメントのプロセス改善におけるベンチマーキングはどれか,ITサービスのパフォーマンスを財務、顧客、内部プロセス、学習と成長の観点から推定し、戦略的な活動をサポートする,業界内外の優れた業務方法で（ベストプラクティス）と比較して、サービス品質及びパフォーマンスのレベルを評価する,サービスのレベルで可用性、信頼性、パフォーマンスを推定し、顧客に報告する,強み、弱み、機械、脅威の観点からITサービスマネジメントの現状を分析する。,1,2
システムの移行テストを実施する主要な目的はどれか,確実性や効率性の観点で、既存システムから新システムへの切替え手順や切替えに伴う問題点を確認する,既存システムの実データのコピーを利用して、新システムでも十分な性能が得られることを確認する,既存の他システムのプログラムと新たに開発したプログラムと新たに開発したプログラムとのインターフェースの整合性を確認する,新システムが、要求された全ての機能を満たしていることを確認する,0,2
ディスク障害時に、フルバックアップを取得してあるテープからディスクにデータを復元した後、フルバックアップ取得時以降の更新後コピーをログから反映させてデータベースを回復する方法はどれか,チェックポイントリスタート,リブート,ロールバック,ロールフォワード,3,2
システム監査人がインタビュー実施時にすべきことのうち、最も適切なものはどれか,インタビューで監査対象部門から得た情報を裏付けるための文書や記録を入手するよう努める,インタビューの中で気が付いた不備事項について、その場で監査対象部門に改善を指示する,監査対象部門内の監査業務を経験したことのある管理者をインタビューの対象者として選ぶ,複数の監査人でインタビューを行うと記録内容に相違が出ることがあるので、1人の監査人が行う,0,2
経営者が社内のシステム監査人の外観上の独立性を担保するために講じる措置として最も適切なものはどれか,システム監査人にITに関する継続的学習を義務付ける,システム監査人に必要な知識や経験を定めて公表する,システム監査人の監査技法研修制度を設ける,システム監査人の所属部署を内部監査部門とする,3,2
エンタープライズアーキテクチャを構成するアプリケーションアーキテクチャについて説明したものはどれか,業務に必要なデータの内容、データ間の関連や構造などを体系的に示したもの,業務プロセスを支援するシステムの機能や構成などを体系的に示したもの,情報システムの構築・運用に必要な技術的構成要素を体系的に示したもの,ビジネス戦略に必要な業務プロセスや情報の流れを体系的に示したもの,1,2
オンデマンド型のサービスはどれか,インターネットサイトで購入したDVDで視聴する映画,出版社が部数を決めてオフセットを印刷した文庫本,定期的に決まられたスケジュールでスマートフォンに配信されるインターネットニュース,利用者の要求に応じてインターネット上で配信される再放送のドラマ,3,2
BI（Business Intelligence）の活用事例として、適切なものはどれか,競合する他社が発行するアニュマルレポートなどの刊行物を入手し、経営戦略や財務状況を把握する,業績の評価や経営戦略の策定を行うために、業務システムなどに蓄積された膨大なデータを分析する,電子化された学習教材を社員がネットワーク経由で利用することを可能にし、学習・成績管理を行う,りん議や決裁など、日常の定型的業務を電子化することによって、手続を確実に行い、処理を迅速にする,1,2
非機能要件項目はどれか,新しい業務の在り方や運用に関わる業務手順、入出力情報、組織、責任、権限、業務上の制約などの項目,新しい業務の遂行に飛鳥なアプリケーションシステムに関わる利用者の作業、システム機能の実現範囲、機能間の情報の流れなどの項目,経営戦略や情報戦略に関わる経営上のニーズ、システム化・システム改善を必要とする業務上の課題、求められる成果・目標などの項目,システム基盤に関わる可用性、性能、拡張性、運用性、保守性、移行性などの項目,3,2
企業経営で用いられるコアコンピタンスを説明したものはどれか,企業全体の経営資源の配分を有効かつ統合的に管理し、経営の効率向上を図ることである,競争優位の源泉となる、他者よりも優越した自社独自のスキルや技術などの強みである,業務プロセスを根本的に考え直し、抜本的にデザインし、直すことによって、企業のコスト、品質、サービス、スピードなどを劇的に改善することである,最強の競合相手又は先進企業と比較して、製品、サービス、オペレーションなどを定性的・定量的に把握することである。,1,2
特定顧客、特定製品のセグメントに資源を集中し、専門家を図る戦略はどれか,チャレンジ戦略,ニッチ戦略,フォロワ戦略,リーダ戦略,1,2
サイトサクセス者の総人数に対して、最終成果である商品やサービスの購入に至る人数の割合を高める目的でショッピングサイトの画面デザインを見直すことにした。効果を図るために、見直し前後で比較すべき、効果を直接示す値はどれか,ROAS（Return On Advertising Spend）,コンバージョン率,バナー広告のクリック率,ページビュー,1,2
プロセスイノベーションに関する記述として、適切なものはどれか,競争を経て広く採用され、結果として事実上の標準となる,製品の品質を向上する革新的な製造工程を開発する,独創的かつ高い技術を基に革新的な新製品を開発する,半導体の製造プロセスをもっている他企業に製造を委託する,1,2
IoTの応用事例のうち、HEMSの説明はどれか,工場内の機械に取り付けたセンサで振動、温度、音などを常時計測し、収集したデータを基に機械の劣化状態を分析して、適切なタイミングで部品を交換する,自動車に取り付けたセンサで車両の状態、路面状況などのデータを計測し、ネットワークを介して保存し分析することによって、効率的な運転を支援する,情報通信技術や環境技術を駆使して、街頭などの公共設備や交通システムをはじめとする都市基盤のエネルギーの可視化と消費の最適制御を行う,太陽光発電装置などのエネルギー機器、家電機器、センサ類などを家庭内通信ネットワークに接続して、エネルギーの可視化と消費の最適制御を行う,3,2
CGM(Consumer Generated Media)の例はどれか,企業が、経営状況や財務状況、業績動向に関する情報を、個人投資家向けに公開する自社のWebサイト,企業が、自社の商品の特徴や使用方法に関する情報を、一般消費者向けに発信する自社のWebサイト,行政機関が、政策、行政サービスに関する情報を、一般市民向けに公開する自組織のWebサイト,個人が、自らが使用した商品など評価に関する情報を、不特定多数に向けて発信するブログやSNSなどのWebサイト,3,2
シャアリングエコノミーの説明はどれか,ITの活用によって経済全体の生産性が高まり、更にSCMの進展によって需給ギャップが解消されるので、インフレなき成長が持続するという概念である,ITを用いて、再生可能エネルギーや都市基盤の効率的な管理・運営を行い、人々の生活の質を高め、継続的な経済発展を実現するという概念である,商取引において、実店舗販売とインターネット販売を組み合わせ、それぞれの長所を生かして連携させることによって、全体の売上を拡大する仕組みである,ソーシャルメディアのコミュニティ機能などを活用して、主に個人同士で、個人が保有している遊休資産を共有したり、貸し借りしたりする仕組みである,3,2
ディジタルサイネージの説明として、適切なものはどれか,情報技術を利用する機会又は能力によって、地域間又は個人間に生じる経済的又は社会的な格差,情報の正当性を保証するために使用する電子的な署名,ディスプレイに映像、文字などの情報を表示する電子看板,不正利用を防止するためにデータに識別情報を埋め込む技術,2,2
企業が社会的責任を果たすために実施すべき施策のうち、環境対策の観点から実施するものはどれか,株主に対し、企業の経営状況の透明化を図る,グリーン購入に向けて社内体制を整備する,災害時における従業員のボランティア活動を支援する制度を構築する,社内に倫理ヘルプラインを設置する,1,2
社内カンパニー制を説明したものはどれか,1部門を切り離して別会社として独立させ、機動力のある多角化戦略を展開する,合併、買収によって、自社にない経営資源を相手企業から得て、スピーディな戦略展開を図る,時間を掛けて研究・開発を行い、その成果を経営戦略の基礎とする,事業分野ごとの仮想企業を作り、経営資源配分の効率化、意思決定の迅速化、創造性の発揮を促進する,3,2
著作者人格権に該当するものはどれか,印刷、撮影、複写などの方法によって著作物を複製する権利,公衆からの要求に応じて自動的にサーバから情報を送信する権利,著作物の複製物を公衆に貸し出す権利,自らの意思に反して著作物を変更、切除されない権利,3,2
インターネットで利用される技術の標準化を図り、技術仕様をRFCとして策定している組織はどれか,ANSI,IEEE,IETF,NIST,2,2
最上位をパリティビットとする8ビット符号において、パリティビット以外の下位7ビットを得るためのビット演算はどれか。,16進数0FとのANDをとる。,16進数0FとのORをとる。,16進数7FとのANDをとる。,16進数FFとのXOR(排他的論理和)をとる。,2,2
機械学習における教師あり学習の説明として、最も適切なものはどれか。,個々の行動に対しての善しあしを得点として与えることによって、得点が最も多く得られるような方策を学習する。,コンピュータ利用者の挙動データを蓄積し、挙動データの出現頻度に従って次の挙動を推論する。,正解のデータを提示したり、データが誤りであることを指摘したりすることによって、未知のデータに対して正誤を得ることを助ける。,正解のデータを提示せずに、統計的性質や、ある種の条件によって入力パターンを判定したり、クラスタリングしたりする。,2,2
複数のプロセスから同時に呼び出されたときに、互いに干渉することなく並行して動作することができるプログラムの性質を表すものはどれか。,リエントラント,リカーシブ,リユーザブル,リロケータブル,0,2
外部割込みの原因となるものはどれか。,ゼロによる除算命令の実行,存在しない命令コードの実行,タイマによる時間経過の通知,ページフォールトの発生,2,2
3Dプリンタの機能の説明として、適切なものはどれか。,高温の印字ヘッドのピンを感熱紙に押し付けることによって印刷を行う。,コンピュータグラフィックスを建物、家具など凹凸のある立体物に投影する。,熱溶解積層方式などによって、立体物を造形する。,立体物の形状を感知して、3Dデータとして出力する。,2,2
冗長構成におけるデュアルシステムの説明として、適切なものはどれか。,2系統のシステムで並列処理をすることによって性能を上げる方式である。,2系統のシステムの負荷が均等になるように、処理を分散する方式である。,現用系と待機系の2系統のシステムで構成され、現用系に障害が生じたときに、待機系が処理を受け継ぐ方式である。,一つの処理を2系統のシステムで独立に行い、結果を照合する方式である。,3,2
タスクのディスパッチの説明として、適切なものはどれか。,各タスクの実行順序を決定すること,実行可能なタスクに対してプロセッサの使用権を割り当てること,タスクの実行に必要な情報であるコンテキストのこと,一つのプロセッサで複数のタスクを同時に実行しているかのように見せかけた状態のこと,1,2
デバイスドライバの説明として、適切なものはどれか。,PCに接続された周辺機器を制御するソフトウェア,アプリケーションプログラムをPCに導入するソフトウェア,キーボードなどの操作手順を登録して、その操作を自動化するソフトウェア,他のPCに入り込んで不利益をもたらすソフトウェア,0,2
データ検索時に使用される、理想的なハッシュ法の説明として、適切なものはどれか。,キーワード検索のヒット率を高めることを目的に作成した、一種の同義語・類義語リストを用いることによって、検索漏れを防ぐ技術である。,蓄積されている膨大なデータを検索し、経営やマーケティングにとって必要な傾向、相関関係、パターンなどを導き出すための技術や手法である。,データとそれに対する処理を組み合わせたオブジェクトに、認識や判断の機能を加え、利用者の検索要求に対して、その意図を判断する高度な検索技術である。,データを特定のアルゴリズムによって変換した値を格納アドレスとして用いる、高速でスケーラビリティの高いデータ検索技術である。,3,2
貸借対照表を説明したものはどれか。,一定期間におけるキャッシュフローの状況を活動区分別に表示したもの,一定期間に発生した収益と費用によって会社の経営成績を表示したもの,会社の純資産の各項目の前期末残高、当期変動額、当期末残高を表示したもの,決算日における会社の財務状態を資産・負債・純資産の区分で表示したもの,3,1
RPA(Robotic Process Automation)に関する記述として、最も適切なものはどれか。,ホワイトカラーの定型的な事務作業を、ソフトウェアで実現されたロボットに代替させることによって、自動化や効率化を図る。,システムの利用者が、主体的にシステム管理や運用を行うことによって、利用者のITリテラシの向上や、システムベンダへの依存の軽減などを実現する。,組立てや搬送などにハードウェアのロボットを用いることによって、工場の生産活動の自動化を実現する。,企業の一部の業務を外部の組織に委託することによって、自社のリソースを重要な領域に集中したり、コストの最適化や業務の高効率化などを実現したりする。,0,1
実用新案権の保護対象として、適切なものはどれか。,圧縮比率を大きくしても高い復元性を得られる工夫をした画像処理プログラム,インターネットを利用し、顧客の多様な要望に対応できるビジネスモデル,岩石に含まれているレアメタルを無駄なく抽出して、資源を有効活用する方法,電気スタンドと時計を組み合わせて夜間でも容易に時刻を確かめられる機器,3,1
コーポレートブランドを高める目的として、最も適切なものはどれか。,企業が有する独自のスキルや技術に基づいて、競合他社では提供が不可能な価値を顧客にもたらすことである。,企業名などから製品やサービスの品質イメージを連想させることで競争優位性をもたらすことである。,経営者や企業が社会に対して、企業の普遍的な価値観、企業活動の基本的な考え方を公表して、ステークホルダの共感を得ることである。,流通業者の主導権のもとで製造業者などと連携して開発し、生産される独自ブランドの商品を低価格で販売することである。,1,1
バリューチェーン分析では、企業の活動を、企業の価値に直結する主活動と、主活動全体を支援して全社的な機能を果たす支援活動に分けて分析する。コンピュータ関連機器の製造と販売を行うA社は、部材の購買、機器の設計と製造、商品の出荷、販売とマーケティング、アフターサービスの五つの領域を主活動に、その他の活動領域を支援活動に分類した。企業活動で利用する情報システムのうち、主にA社の支援活動に利用されるものはどれか。,CAD/CAM(Computer Aided Design/Computer Aided Manufacturing),CRM(Customer Relationship Management),HRM(Human Resource Management),SFA(Sales Force Automation),2,1
プロの棋士に勝利するまでに将棋ソフトウェアの能力が向上した。この将棋ソフトウェアの能力向上の中核となった技術として、最も適切なものはどれか。,VR,ER,EC,AI,3,1
刑法には、コンピュータや電磁的記録を対象としたIT関連の行為を規制する条項がある。次の不適切な行為のうち、不正指令電磁的記録に関する罪に抵触する可能性があるものはどれか。,会社がライセンス購入したソフトウェアパッケージを、無断で個人所有のPCにインストールした。,キャンペーンに応募した人の個人情報を、応募者に無断で他の目的に利用した。,正当な理由なく、他人のコンピュータの誤動作を引き起こすウイルスを収集し、自宅のPCに保管した。,他人のコンピュータにネットワーク経由でアクセスするためのIDとパスワードを、本人に無断で第三者に教えた。,2,1
"企業の収益性分析を行う指標の一つに、""利益÷資本""で求められる資本利益率がある。資本利益率は、売上高利益率(利益÷売上高)と資本回転率(売上高÷資本)に分解して求め、それぞれの要素で分析することもできる。ここで、資本利益率が4%である企業の資本回転率が2.0回のとき、売上高利益率は何%か。",0.08,0.5,2,8,2,1
意思決定に役立つ知見を得ることなどが期待されており、大量かつ多種多様な形式でリアルタイム性を有する情報などの意味で用いられる言葉として、最も適切なものはどれか。,ビッグデータ,ダイバーシティ,コアコンピタンス,クラウドファンディング,0,1
